date,series_name,value
25/03/2019,Seasonality_New Year's Day BH,0
01/04/2019,Seasonality_New Year's Day BH,0
08/04/2019,Seasonality_New Year's Day BH,0
15/04/2019,Seasonality_New Year's Day BH,0
22/04/2019,Seasonality_New Year's Day BH,0
29/04/2019,Seasonality_New Year's Day BH,0
06/05/2019,Seasonality_New Year's Day BH,0
13/05/2019,Seasonality_New Year's Day BH,0
20/05/2019,Seasonality_New Year's Day BH,0
27/05/2019,Seasonality_New Year's Day BH,0
03/06/2019,Seasonality_New Year's Day BH,0
10/06/2019,Seasonality_New Year's Day BH,0
17/06/2019,Seasonality_New Year's Day BH,0
24/06/2019,Seasonality_New Year's Day BH,0
01/07/2019,Seasonality_New Year's Day BH,0
08/07/2019,Seasonality_New Year's Day BH,0
15/07/2019,Seasonality_New Year's Day BH,0
22/07/2019,Seasonality_New Year's Day BH,0
29/07/2019,Seasonality_New Year's Day BH,0
05/08/2019,Seasonality_New Year's Day BH,0
12/08/2019,Seasonality_New Year's Day BH,0
19/08/2019,Seasonality_New Year's Day BH,0
26/08/2019,Seasonality_New Year's Day BH,0
02/09/2019,Seasonality_New Year's Day BH,0
09/09/2019,Seasonality_New Year's Day BH,0
16/09/2019,Seasonality_New Year's Day BH,0
23/09/2019,Seasonality_New Year's Day BH,0
30/09/2019,Seasonality_New Year's Day BH,0
07/10/2019,Seasonality_New Year's Day BH,0
14/10/2019,Seasonality_New Year's Day BH,0
21/10/2019,Seasonality_New Year's Day BH,0
28/10/2019,Seasonality_New Year's Day BH,0
04/11/2019,Seasonality_New Year's Day BH,0
11/11/2019,Seasonality_New Year's Day BH,0
18/11/2019,Seasonality_New Year's Day BH,0
25/11/2019,Seasonality_New Year's Day BH,0
02/12/2019,Seasonality_New Year's Day BH,0
09/12/2019,Seasonality_New Year's Day BH,0
16/12/2019,Seasonality_New Year's Day BH,0
23/12/2019,Seasonality_New Year's Day BH,0
30/12/2019,Seasonality_New Year's Day BH,1
06/01/2020,Seasonality_New Year's Day BH,0
13/01/2020,Seasonality_New Year's Day BH,0
20/01/2020,Seasonality_New Year's Day BH,0
27/01/2020,Seasonality_New Year's Day BH,0
03/02/2020,Seasonality_New Year's Day BH,0
10/02/2020,Seasonality_New Year's Day BH,0
17/02/2020,Seasonality_New Year's Day BH,0
24/02/2020,Seasonality_New Year's Day BH,0
02/03/2020,Seasonality_New Year's Day BH,0
09/03/2020,Seasonality_New Year's Day BH,0
16/03/2020,Seasonality_New Year's Day BH,0
23/03/2020,Seasonality_New Year's Day BH,0
30/03/2020,Seasonality_New Year's Day BH,0
06/04/2020,Seasonality_New Year's Day BH,0
13/04/2020,Seasonality_New Year's Day BH,0
20/04/2020,Seasonality_New Year's Day BH,0
27/04/2020,Seasonality_New Year's Day BH,0
04/05/2020,Seasonality_New Year's Day BH,0
